benchmark,metric,score,occluder_type,visibility
ImageNet-Occluded,accuracy,0.2868954113551548,pink_noise,0.7
ImageNet-Occluded,accuracy,0.4252563052031459,pink_noise,0.8
ImageNet-Occluded,accuracy,0.5387744575130696,pink_noise,0.9
ImageNet-Occluded,accuracy,0.0008769132653061,polkadot,0.1
ImageNet-Occluded,accuracy,0.0011957908163265,polkadot,0.2
ImageNet-Occluded,accuracy,0.0013153698979591,polkadot,0.3
ImageNet-Occluded,accuracy,0.0016225903694118,polkadot,0.4
ImageNet-Occluded,accuracy,0.0177082330444637,polkadot,0.5
ImageNet-Occluded,accuracy,0.0536812307427124,polkadot,0.6
ImageNet-Occluded,accuracy,0.2132392093843343,polkadot,0.7
ImageNet-Occluded,accuracy,0.3543113147725864,polkadot,0.8
ImageNet-Occluded,accuracy,0.4159893028590144,polkadot,0.9
ImageNet-Occluded,accuracy,0.0011202078122569,polkasquare,0.1
ImageNet-Occluded,accuracy,0.0009964923469387,polkasquare,0.2
ImageNet-Occluded,accuracy,0.0011559311224489,polkasquare,0.3
ImageNet-Occluded,accuracy,0.0017222396041057,polkasquare,0.4
ImageNet-Occluded,accuracy,0.0038987293041178,polkasquare,0.5
ImageNet-Occluded,accuracy,0.0075865030592801,polkasquare,0.6
ImageNet-Occluded,accuracy,0.0332001167140444,polkasquare,0.7
ImageNet-Occluded,accuracy,0.1149512208542045,polkasquare,0.8
ImageNet-Occluded,accuracy,0.3267438241413661,polkasquare,0.9
ImageNet-Occluded,accuracy,0.0012954400510204,empty_rectangles,0.1
ImageNet-Occluded,accuracy,0.0030060225755584,empty_rectangles,0.2
ImageNet-Occluded,accuracy,0.0079685544633135,empty_rectangles,0.3
ImageNet-Occluded,accuracy,0.0241794168036811,empty_rectangles,0.4
ImageNet-Occluded,accuracy,0.0653981005354803,empty_rectangles,0.5
ImageNet-Occluded,accuracy,0.1307206181239108,empty_rectangles,0.6
ImageNet-Occluded,accuracy,0.211358659121455,empty_rectangles,0.7
ImageNet-Occluded,accuracy,0.3453222020548217,empty_rectangles,0.8
ImageNet-Occluded,accuracy,0.5229527913794225,empty_rectangles,0.9
ImageNet-Occluded,accuracy,0.0024081271673951,filled_rectangles,0.1
ImageNet-Occluded,accuracy,0.0077053300694239,filled_rectangles,0.2
ImageNet-Occluded,accuracy,0.0216584791410334,filled_rectangles,0.3
ImageNet-Occluded,accuracy,0.0573596035947605,filled_rectangles,0.4
ImageNet-Occluded,accuracy,0.1253230139917256,filled_rectangles,0.5
ImageNet-Occluded,accuracy,0.2063690527361266,filled_rectangles,0.6
ImageNet-Occluded,accuracy,0.3077882832410384,filled_rectangles,0.7
ImageNet-Occluded,accuracy,0.4275580145874802,filled_rectangles,0.8
ImageNet-Occluded,accuracy,0.5710070364329279,filled_rectangles,0.9
ImageNet-Occluded,accuracy,0.0014232919000241,straight_lines,0.1
ImageNet-Occluded,accuracy,0.0033124909755222,straight_lines,0.2
ImageNet-Occluded,accuracy,0.0150609477328098,straight_lines,0.3
ImageNet-Occluded,accuracy,0.0630696928318666,straight_lines,0.4
ImageNet-Occluded,accuracy,0.1315358618692476,straight_lines,0.5
ImageNet-Occluded,accuracy,0.2420844666811884,straight_lines,0.6
ImageNet-Occluded,accuracy,0.3711937751088823,straight_lines,0.7
ImageNet-Occluded,accuracy,0.48232109753453,straight_lines,0.8
ImageNet-Occluded,accuracy,0.5741909231458392,straight_lines,0.9
ImageNet-Occluded,accuracy,0.0015146683673469,empty_triangles,0.1
ImageNet-Occluded,accuracy,0.0041544330021252,empty_triangles,0.2
ImageNet-Occluded,accuracy,0.0169178078103126,empty_triangles,0.3
ImageNet-Occluded,accuracy,0.0460018470731316,empty_triangles,0.4
ImageNet-Occluded,accuracy,0.1046294402711245,empty_triangles,0.5
ImageNet-Occluded,accuracy,0.2023755625194432,empty_triangles,0.6
ImageNet-Occluded,accuracy,0.345648600130665,empty_triangles,0.7
ImageNet-Occluded,accuracy,0.4508481092598973,empty_triangles,0.8
ImageNet-Occluded,accuracy,0.5597256154430156,empty_triangles,0.9
ImageNet-Occluded,accuracy,0.0018177524551141,filled_triangles,0.1
ImageNet-Occluded,accuracy,0.0033846896673951,filled_triangles,0.2
ImageNet-Occluded,accuracy,0.0103010986266391,filled_triangles,0.3
ImageNet-Occluded,accuracy,0.0271647574037921,filled_triangles,0.4
ImageNet-Occluded,accuracy,0.064594138033536,filled_triangles,0.5
ImageNet-Occluded,accuracy,0.149758510443629,filled_triangles,0.6
ImageNet-Occluded,accuracy,0.2313990602079703,filled_triangles,0.7
